Year,Return
2000,-0.18406127106993497
2001,-0.1437822660570629
2002,0.046144836572805104
2003,0.5615224086720724
2004,0.14044137575746118
2005,0.3256407651849098
2006,0.3693507791028683
2007,0.4689341885629784
2008,-0.6325253550469102
2009,0.6209340770429557
2010,0.17829184532636522
2011,-0.2609653068972074
2012,0.2560180098476452
2013,0.08150266456429689
2014,0.28087264601445694
2015,-0.028521039326573794
2016,0.040907231713653514
2017,0.2559438106098284
2018,0.03914788761416088
2019,0.12270375078010543
2020,0.18849573829571997
2021,0.22818155493423276
2022,0.057133594890903305
2023,0.1873062739072302
2024,-0.0030169822644725564
